Player,Age,Pos,Comp,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,FK,TotDist,PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,pass13,PPA,CrsPA,Prog,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past_VD,Press_Succ,P_D3,P_M3,P_A3,Sh_Blk,ShSv,Pass_Blk,Clr,Err,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_DrPast,Megs,Carries,Cr_TotDist,Cr_PrgDist,Targ,Rec,Miscon,Dispos,Fls,PKwon,PKcon,Recov,AD_Won,AD_Lost,Game,overall
Santiago Arias,26.0,DF,La Liga,25,20,1772,1,1,0,0,4,0,9.0,1.0,0.0,13087.0,5983.0,21.0,42.0,692.0,798.0,108.0,197.0,14.0,46.0,26.0,9.0,160.0,34.0,40.0,15.0,0.0,13.0,23.0,82.0,115.0,70.0,21.0,1.0,0.0,27.0,46.0,0.0,50.0,309.0,537.0,446.0,23.0,1050.0,14.0,23.0,14.0,0.0,744.0,3782.0,2129.0,742.0,657.0,10.0,9.0,21,0.0,0.0,206.0,35.0,28.0,FIFA 20,79
Santiago Cáseres,21.0,MF,La Liga,23,17,1588,0,1,0,0,10,0,5.0,1.0,0.0,16401.0,3588.0,10.0,17.0,534.0,576.0,237.0,268.0,15.0,75.0,5.0,1.0,73.0,50.0,24.0,42.0,6.0,22.0,38.0,115.0,160.0,246.0,33.0,10.0,0.0,14.0,26.0,0.0,48.0,257.0,709.0,106.0,5.0,973.0,12.0,15.0,13.0,2.0,705.0,3509.0,1527.0,687.0,657.0,6.0,6.0,34,0.0,0.0,165.0,21.0,28.0,FIFA 20,74
Saîf-Eddine Khaoui,23.0,MF,Ligue 1,25,17,1353,3,1,0,0,0,0,27.0,11.0,0.0,5144.0,1837.0,6.0,29.0,284.0,348.0,37.0,98.0,11.0,39.0,4.0,0.0,68.0,7.0,4.0,9.0,4.0,6.0,16.0,63.0,47.0,197.0,68.0,1.0,0.0,15.0,7.0,0.0,6.0,75.0,406.0,187.0,20.0,610.0,27.0,45.0,28.0,1.0,456.0,2319.0,1244.0,535.0,417.0,31.0,23.0,19,0.0,0.0,121.0,8.0,12.0,FIFA 20,72
Scott Dann,31.0,DF,Premier League,10,7,663,0,1,0,0,1,0,6.0,1.0,0.0,3784.0,1692.0,1.0,6.0,145.0,155.0,44.0,82.0,0.0,10.0,0.0,0.0,17.0,1.0,4.0,1.0,0.0,2.0,7.0,5.0,35.0,8.0,1.0,14.0,0.0,10.0,62.0,0.0,62.0,200.0,154.0,13.0,9.0,323.0,4.0,4.0,4.0,0.0,166.0,908.0,621.0,165.0,160.0,1.0,0.0,4,0.0,0.0,62.0,22.0,15.0,FIFA 20,75
Scott McTominay,21.0,MF,Premier League,16,9,867,2,0,0,0,1,0,15.0,6.0,0.0,6937.0,1960.0,5.0,9.0,312.0,345.0,70.0,101.0,1.0,33.0,1.0,0.0,28.0,13.0,5.0,11.0,0.0,7.0,5.0,29.0,53.0,62.0,18.0,5.0,0.0,7.0,21.0,0.0,31.0,137.0,371.0,78.0,18.0,553.0,2.0,9.0,4.0,0.0,394.0,2420.0,1062.0,431.0,383.0,11.0,4.0,11,0.0,0.0,101.0,33.0,21.0,FIFA 20,77
Sead Kolašinac,25.0,DF,Premier League,24,22,1887,0,5,0,0,5,0,10.0,2.0,0.0,15331.0,5195.0,16.0,56.0,843.0,993.0,114.0,178.0,32.0,52.0,24.0,9.0,117.0,18.0,19.0,11.0,2.0,12.0,17.0,88.0,119.0,111.0,56.0,3.0,0.0,15.0,40.0,2.0,50.0,331.0,649.0,507.0,88.0,1195.0,16.0,33.0,17.0,1.0,916.0,4559.0,2859.0,1019.0,880.0,30.0,18.0,21,1.0,1.0,186.0,13.0,23.0,FIFA 20,79
Sean Longstaff,20.0,MF,Premier League,9,8,687,1,0,0,0,2,0,8.0,2.0,0.0,4937.0,1046.0,1.0,5.0,167.0,191.0,68.0,99.0,5.0,29.0,6.0,1.0,27.0,19.0,11.0,12.0,2.0,11.0,16.0,74.0,71.0,143.0,20.0,4.0,0.0,15.0,12.0,0.0,16.0,80.0,267.0,55.0,6.0,378.0,5.0,6.0,5.0,0.0,245.0,1128.0,444.0,227.0,202.0,4.0,5.0,7,1.0,0.0,103.0,6.0,13.0,FIFA 20,72
Sean Morrison,27.0,DF,Premier League,34,34,3039,1,3,0,0,6,0,33.0,7.0,0.0,11406.0,5405.0,4.0,27.0,349.0,511.0,172.0,371.0,17.0,35.0,8.0,1.0,68.0,30.0,34.0,10.0,1.0,16.0,15.0,110.0,206.0,103.0,4.0,30.0,2.0,29.0,198.0,3.0,229.0,688.0,438.0,187.0,110.0,1133.0,11.0,13.0,12.0,0.0,353.0,1789.0,813.0,481.0,371.0,10.0,5.0,32,0.0,3.0,388.0,183.0,82.0,FIFA 20,74
Sebastian Jung,28.0,DF,Bundesliga,1,1,56,0,0,0,0,0,0,0.0,0.0,0.0,876.0,407.0,0.0,1.0,37.0,39.0,10.0,16.0,1.0,2.0,2.0,1.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,32.0,17.0,0.0,53.0,0.0,1.0,0.0,0.0,44.0,191.0,119.0,49.0,47.0,0.0,0.0,0,0.0,0.0,5.0,0.0,0.0,FIFA 20,70
Sebastian Kerk,24.0,MF,Bundesliga,21,17,1179,0,1,0,0,0,0,18.0,7.0,5.0,5904.0,2344.0,8.0,18.0,243.0,306.0,68.0,165.0,20.0,21.0,13.0,6.0,67.0,7.0,7.0,7.0,4.0,8.0,25.0,62.0,131.0,123.0,45.0,3.0,1.0,17.0,19.0,1.0,29.0,155.0,242.0,239.0,20.0,504.0,7.0,13.0,7.0,1.0,335.0,1728.0,939.0,444.0,335.0,11.0,11.0,8,0.0,0.0,95.0,6.0,7.0,FIFA 20,71
Sebastian Langkamp,30.0,DF,Bundesliga,21,15,1414,0,0,0,0,4,0,6.0,1.0,0.0,18671.0,5602.0,5.0,10.0,556.0,602.0,299.0,344.0,3.0,65.0,3.0,0.0,73.0,16.0,23.0,7.0,0.0,4.0,7.0,38.0,88.0,48.0,4.0,10.0,0.0,13.0,93.0,0.0,108.0,526.0,641.0,48.0,15.0,1103.0,3.0,3.0,3.0,0.0,754.0,4983.0,2839.0,780.0,773.0,2.0,2.0,13,0.0,1.0,160.0,21.0,22.0,FIFA 20,75
Sebastian Prödl,31.0,DF,Premier League,1,0,13,0,0,0,0,0,0,0.0,0.0,0.0,64.0,12.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,28.0,1.0,3.0,3.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,FIFA 20,73
Sebastian Rode,27.0,MF,Bundesliga,12,12,923,0,0,0,0,4,0,4.0,2.0,0.0,8126.0,2161.0,7.0,13.0,346.0,395.0,88.0,131.0,14.0,38.0,10.0,2.0,61.0,19.0,17.0,13.0,4.0,13.0,21.0,116.0,118.0,174.0,47.0,1.0,0.0,24.0,20.0,1.0,32.0,130.0,400.0,166.0,18.0,625.0,11.0,17.0,11.0,0.0,395.0,2139.0,1109.0,457.0,394.0,6.0,9.0,16,0.0,0.0,127.0,11.0,12.0,FIFA 20,78
Sebastian Rudy,28.0,MF,Bundesliga,21,17,1356,0,0,0,0,4,0,5.0,1.0,0.0,10178.0,2806.0,12.0,29.0,406.0,474.0,122.0,167.0,11.0,39.0,13.0,2.0,67.0,24.0,18.0,19.0,6.0,13.0,33.0,73.0,82.0,171.0,42.0,2.0,0.0,22.0,18.0,0.0,24.0,175.0,528.0,142.0,12.0,764.0,12.0,19.0,12.0,0.0,532.0,2266.0,1031.0,530.0,478.0,6.0,11.0,28,0.0,0.0,174.0,7.0,7.0,FIFA 20,78
Sebastian Soto,18.0,MF,Bundesliga,3,0,29,0,0,0,0,0,0,0.0,0.0,0.0,43.0,8.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,12.0,1.0,10.0,4.0,0.0,1.0,2,0.0,0.0,2.0,1.0,1.0,FIFA 20,60
Sebastiano Luperto,21.0,DF,Serie A,12,6,728,0,0,0,0,0,0,3.0,0.0,0.0,8141.0,2776.0,5.0,11.0,318.0,339.0,98.0,119.0,0.0,29.0,0.0,0.0,24.0,4.0,5.0,1.0,2.0,3.0,1.0,29.0,40.0,30.0,5.0,2.0,0.0,8.0,32.0,0.0,52.0,239.0,291.0,18.0,4.0,501.0,0.0,0.0,0.0,0.0,340.0,1767.0,1023.0,371.0,362.0,0.0,2.0,10,0.0,2.0,77.0,18.0,13.0,FIFA 20,72
Sebastián Cristóforo,24.0,MF,La Liga,15,4,450,0,2,0,0,3,0,1.0,1.0,0.0,2371.0,813.0,5.0,11.0,83.0,95.0,32.0,49.0,6.0,16.0,2.0,0.0,17.0,11.0,5.0,8.0,2.0,8.0,12.0,39.0,49.0,87.0,29.0,0.0,0.0,16.0,5.0,0.0,9.0,53.0,116.0,63.0,7.0,220.0,3.0,6.0,4.0,0.0,140.0,760.0,291.0,146.0,111.0,5.0,10.0,13,1.0,0.0,62.0,5.0,16.0,FIFA 20,75
Seko Fofana,23.0,MF,Serie A,31,31,2639,2,4,0,0,5,0,58.0,12.0,0.0,17291.0,3446.0,12.0,40.0,790.0,888.0,174.0,231.0,39.0,63.0,22.0,12.0,72.0,18.0,16.0,13.0,1.0,16.0,34.0,104.0,151.0,193.0,62.0,8.0,1.0,26.0,15.0,1.0,36.0,282.0,872.0,450.0,64.0,1479.0,66.0,92.0,70.0,1.0,1282.0,8788.0,4220.0,1290.0,1092.0,51.0,63.0,30,0.0,1.0,245.0,8.0,15.0,FIFA 20,75
Senou Coulibaly,23.0,DF,Ligue 1,9,6,411,1,0,0,0,1,1,2.0,1.0,0.0,3291.0,1070.0,2.0,6.0,105.0,127.0,42.0,68.0,1.0,10.0,2.0,0.0,6.0,5.0,11.0,2.0,0.0,5.0,5.0,12.0,35.0,24.0,3.0,1.0,0.0,8.0,21.0,0.0,28.0,134.0,132.0,9.0,3.0,257.0,1.0,2.0,1.0,0.0,147.0,884.0,463.0,152.0,151.0,2.0,1.0,9,0.0,0.0,47.0,8.0,5.0,FIFA 20,66
Serdar Gürler,26.0,FW,La Liga,13,5,482,0,1,0,0,2,0,6.0,1.0,0.0,1493.0,447.0,4.0,14.0,93.0,128.0,7.0,18.0,6.0,5.0,7.0,4.0,19.0,7.0,4.0,6.0,0.0,5.0,12.0,27.0,30.0,49.0,10.0,0.0,0.0,9.0,1.0,0.0,2.0,29.0,98.0,118.0,28.0,220.0,9.0,17.0,11.0,0.0,181.0,1301.0,875.0,249.0,157.0,12.0,13.0,5,0.0,0.0,37.0,3.0,16.0,FIFA 20,73
Serge Aurier,25.0,DF,Premier League,8,6,564,0,2,0,0,1,0,4.0,1.0,0.0,4361.0,1788.0,7.0,18.0,199.0,251.0,47.0,74.0,5.0,9.0,11.0,7.0,40.0,12.0,16.0,5.0,1.0,5.0,7.0,45.0,57.0,52.0,22.0,2.0,0.0,12.0,16.0,1.0,21.0,120.0,185.0,146.0,8.0,378.0,8.0,15.0,10.0,0.0,264.0,1122.0,582.0,267.0,238.0,8.0,11.0,17,0.0,0.0,72.0,9.0,9.0,FIFA 20,79
Serge Gnabry,23.0,FW,Bundesliga,30,21,1762,10,5,0,0,0,0,65.0,32.0,0.0,10983.0,2446.0,13.0,40.0,590.0,680.0,86.0,120.0,29.0,36.0,36.0,3.0,77.0,32.0,18.0,15.0,9.0,10.0,27.0,132.0,90.0,203.0,142.0,0.0,0.0,23.0,3.0,0.0,11.0,108.0,464.0,681.0,162.0,1128.0,53.0,106.0,60.0,5.0,950.0,6509.0,4240.0,1113.0,913.0,44.0,50.0,25,0.0,0.0,110.0,3.0,13.0,FIFA 20,84
Sergej Grubac,18.0,FW,Serie A,3,2,157,0,0,0,0,1,0,2.0,0.0,0.0,213.0,8.0,1.0,4.0,13.0,20.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,7.0,2.0,14.0,13.0,0.0,0.0,2.0,2.0,0.0,2.0,4.0,24.0,19.0,7.0,44.0,0.0,1.0,0.0,0.0,25.0,148.0,42.0,71.0,34.0,4.0,4.0,1,0.0,0.0,5.0,10.0,11.0,FIFA 20,58
Sergio Agüero,30.0,FW,Premier League,33,31,2459,21,8,2,2,4,0,118.0,41.0,3.0,9245.0,1686.0,27.0,45.0,592.0,678.0,46.0,62.0,34.0,37.0,44.0,1.0,68.0,14.0,3.0,6.0,8.0,4.0,6.0,123.0,26.0,154.0,282.0,6.0,0.0,16.0,1.0,0.0,5.0,28.0,426.0,779.0,241.0,1090.0,29.0,55.0,32.0,5.0,903.0,5906.0,3194.0,1389.0,892.0,66.0,65.0,22,0.0,0.0,129.0,11.0,14.0,FIFA 20,89
