Player,Age,Pos,Comp,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,FK,TotDist,PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,pass13,PPA,CrsPA,Prog,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past_VD,Press_Succ,P_D3,P_M3,P_A3,Sh_Blk,ShSv,Pass_Blk,Clr,Err,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_DrPast,Megs,Carries,Cr_TotDist,Cr_PrgDist,Targ,Rec,Miscon,Dispos,Fls,PKwon,PKcon,Recov,AD_Won,AD_Lost,Game,overall
Robbie Brady,25.0,MF,Premier League,15,15,1277,1,2,0,0,3,0,24.0,6.0,5.0,7594.0,2974.0,4.0,16.0,253.0,336.0,97.0,236.0,27.0,36.0,17.0,6.0,94.0,19.0,12.0,14.0,2.0,5.0,25.0,63.0,108.0,101.0,41.0,3.0,0.0,17.0,20.0,0.0,28.0,125.0,293.0,369.0,24.0,621.0,18.0,32.0,19.0,1.0,418.0,3071.0,1558.0,475.0,415.0,12.0,14.0,20,0.0,0.0,106.0,7.0,6.0,FIFA 19,77
Robert Bauer,22.0,DF,Bundesliga,16,12,956,0,0,0,0,4,0,2.0,0.0,0.0,7727.0,3818.0,8.0,19.0,260.0,320.0,100.0,164.0,5.0,33.0,5.0,3.0,51.0,12.0,18.0,5.0,1.0,5.0,14.0,27.0,50.0,38.0,6.0,4.0,0.0,10.0,16.0,1.0,41.0,248.0,303.0,70.0,1.0,520.0,1.0,1.0,1.0,0.0,322.0,1696.0,882.0,326.0,302.0,6.0,2.0,13,0.0,0.0,133.0,6.0,7.0,FIFA 19,73
Robert Lewandowski,28.0,FW,Bundesliga,30,24,2172,29,2,6,7,1,0,121.0,48.0,5.0,7081.0,1146.0,18.0,40.0,411.0,504.0,51.0,69.0,23.0,28.0,18.0,0.0,39.0,2.0,2.0,0.0,2.0,2.0,1.0,93.0,7.0,68.0,204.0,4.0,0.0,7.0,9.0,0.0,11.0,27.0,363.0,603.0,224.0,905.0,30.0,51.0,33.0,2.0,734.0,4243.0,2057.0,1241.0,783.0,61.0,44.0,37,2.0,0.0,80.0,38.0,36.0,FIFA 19,90
Robert Žulj,25.0,MF,Bundesliga,5,1,208,0,0,0,0,1,0,5.0,0.0,0.0,930.0,161.0,4.0,9.0,58.0,72.0,4.0,8.0,3.0,3.0,1.0,0.0,9.0,1.0,0.0,2.0,0.0,0.0,1.0,12.0,3.0,27.0,7.0,0.0,0.0,2.0,3.0,0.0,3.0,10.0,61.0,53.0,11.0,117.0,1.0,3.0,1.0,0.0,79.0,446.0,190.0,109.0,87.0,5.0,3.0,5,0.0,0.0,18.0,7.0,7.0,FIFA 19,72
Roberto Gagliardini,23.0,MF,Serie A,30,23,1988,0,0,0,0,8,0,22.0,2.0,0.0,21465.0,5297.0,21.0,35.0,993.0,1118.0,209.0,285.0,17.0,126.0,15.0,2.0,113.0,45.0,30.0,29.0,7.0,18.0,41.0,135.0,150.0,232.0,92.0,1.0,0.0,17.0,37.0,0.0,51.0,364.0,1108.0,291.0,37.0,1656.0,13.0,19.0,14.0,1.0,1151.0,5674.0,2880.0,1272.0,1197.0,24.0,16.0,44,0.0,0.0,271.0,56.0,32.0,FIFA 19,78
Roberto Inglese,25.0,FW,Serie A,34,33,2782,12,1,1,2,3,0,76.0,35.0,0.0,5309.0,786.0,8.0,32.0,318.0,445.0,36.0,86.0,21.0,14.0,14.0,3.0,31.0,20.0,9.0,12.0,11.0,14.0,21.0,102.0,55.0,191.0,208.0,3.0,0.0,28.0,19.0,0.0,23.0,106.0,427.0,482.0,169.0,947.0,39.0,56.0,41.0,0.0,632.0,3920.0,1502.0,1355.0,699.0,90.0,69.0,38,1.0,0.0,114.0,67.0,122.0,FIFA 19,77
Roberto Pereyra,26.0,MF,Premier League,32,18,1624,5,2,0,0,3,0,34.0,13.0,2.0,10842.0,2747.0,16.0,39.0,457.0,526.0,129.0,172.0,24.0,46.0,29.0,10.0,78.0,8.0,2.0,4.0,3.0,3.0,5.0,64.0,63.0,112.0,74.0,0.0,0.0,27.0,6.0,0.0,18.0,175.0,444.0,444.0,70.0,934.0,27.0,57.0,31.0,1.0,726.0,5669.0,2887.0,836.0,681.0,41.0,45.0,18,2.0,0.0,160.0,2.0,7.0,FIFA 19,79
Roberto Rosales,28.0,DF,La Liga,35,35,3122,1,0,0,0,10,0,18.0,6.0,4.0,25757.0,13890.0,12.0,57.0,976.0,1212.0,317.0,624.0,51.0,117.0,34.0,21.0,272.0,56.0,42.0,39.0,8.0,41.0,42.0,133.0,261.0,206.0,65.0,11.0,0.0,64.0,65.0,2.0,133.0,676.0,1043.0,614.0,24.0,1849.0,18.0,29.0,20.0,1.0,1264.0,6048.0,2821.0,1227.0,1131.0,19.0,16.0,46,1.0,2.0,363.0,29.0,28.0,FIFA 19,77
Roberto Soriano,26.0,MF,La Liga,22,11,1140,0,0,0,0,3,0,23.0,8.0,0.0,6367.0,1691.0,5.0,15.0,343.0,418.0,49.0,72.0,11.0,34.0,9.0,3.0,48.0,11.0,6.0,9.0,2.0,1.0,15.0,53.0,68.0,110.0,50.0,1.0,0.0,21.0,3.0,0.0,11.0,97.0,374.0,243.0,33.0,638.0,14.0,20.0,14.0,1.0,529.0,3707.0,1990.0,617.0,476.0,20.0,15.0,35,0.0,0.0,92.0,8.0,15.0,FIFA 19,78
Robin Gosens,23.0,DF,Serie A,21,17,1451,1,2,0,0,1,0,11.0,1.0,0.0,11492.0,4557.0,2.0,18.0,585.0,684.0,89.0,160.0,15.0,56.0,20.0,4.0,122.0,32.0,33.0,23.0,4.0,27.0,26.0,95.0,97.0,113.0,55.0,3.0,0.0,31.0,37.0,0.0,49.0,272.0,490.0,355.0,31.0,950.0,11.0,20.0,12.0,0.0,664.0,3406.0,2096.0,724.0,659.0,21.0,7.0,20,1.0,0.0,120.0,11.0,6.0,FIFA 19,71
Robin Hack,18.0,FW,Bundesliga,3,1,69,1,0,0,0,0,0,2.0,1.0,0.0,209.0,62.0,0.0,2.0,10.0,12.0,2.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,5.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,19.0,4.0,23.0,0.0,0.0,0.0,0.0,13.0,69.0,39.0,20.0,14.0,2.0,2.0,1,0.0,0.0,5.0,1.0,1.0,FIFA 19,63
Robin Knoche,25.0,DF,Bundesliga,24,24,2102,1,2,0,0,2,0,5.0,1.0,0.0,27651.0,8688.0,8.0,15.0,722.0,811.0,459.0,555.0,2.0,82.0,3.0,0.0,81.0,12.0,22.0,5.0,0.0,15.0,13.0,62.0,138.0,47.0,5.0,23.0,2.0,16.0,129.0,1.0,151.0,870.0,793.0,43.0,9.0,1571.0,4.0,5.0,4.0,0.0,1065.0,6569.0,3576.0,1054.0,1041.0,2.0,2.0,18,1.0,1.0,298.0,69.0,24.0,FIFA 19,75
Robin Koch,21.0,MF,Bundesliga,26,21,1919,2,1,0,0,3,0,14.0,5.0,0.0,16368.0,4630.0,14.0,30.0,515.0,606.0,241.0,324.0,5.0,45.0,1.0,0.0,57.0,23.0,24.0,11.0,0.0,5.0,7.0,84.0,127.0,90.0,9.0,13.0,0.0,24.0,103.0,1.0,136.0,559.0,634.0,67.0,20.0,1179.0,8.0,11.0,9.0,0.0,717.0,3798.0,1760.0,729.0,692.0,7.0,9.0,31,0.0,0.0,274.0,76.0,62.0,FIFA 19,71
Robin Quaison,23.0,FW,Bundesliga,24,15,1409,4,1,0,0,3,0,40.0,15.0,0.0,3273.0,708.0,9.0,27.0,166.0,213.0,31.0,51.0,11.0,13.0,5.0,0.0,21.0,9.0,1.0,11.0,4.0,2.0,8.0,89.0,34.0,163.0,166.0,4.0,0.0,19.0,11.0,0.0,16.0,44.0,241.0,230.0,68.0,481.0,16.0,29.0,17.0,1.0,340.0,1992.0,960.0,600.0,327.0,40.0,32.0,31,0.0,0.0,81.0,24.0,58.0,FIFA 19,74
Rodrigo Bentancur,20.0,MF,Serie A,20,5,581,0,0,0,0,0,0,5.0,2.0,0.0,8866.0,1923.0,4.0,7.0,368.0,406.0,102.0,119.0,10.0,42.0,4.0,0.0,38.0,19.0,11.0,15.0,2.0,5.0,15.0,65.0,49.0,82.0,38.0,1.0,0.0,9.0,11.0,0.0,15.0,130.0,415.0,114.0,4.0,599.0,8.0,16.0,8.0,0.0,451.0,2565.0,1463.0,471.0,456.0,1.0,5.0,13,0.0,0.0,80.0,10.0,7.0,FIFA 19,76
Rodrigo De Paul,23.0,MF,Serie A,37,25,2319,4,8,4,4,4,0,49.0,12.0,3.0,15419.0,5319.0,9.0,51.0,550.0,691.0,202.0,363.0,68.0,89.0,50.0,17.0,178.0,22.0,13.0,12.0,6.0,6.0,33.0,144.0,112.0,276.0,150.0,2.0,1.0,42.0,5.0,0.0,16.0,151.0,773.0,716.0,60.0,1340.0,68.0,122.0,73.0,3.0,1142.0,8796.0,5010.0,1294.0,1064.0,47.0,73.0,29,0.0,0.0,144.0,4.0,24.0,FIFA 19,75
Rodrigo Ely,23.0,DF,La Liga,31,30,2691,1,1,0,0,11,2,20.0,4.0,0.0,17879.0,6388.0,4.0,17.0,421.0,528.0,301.0,490.0,2.0,38.0,1.0,0.0,53.0,14.0,20.0,5.0,0.0,9.0,15.0,47.0,113.0,28.0,9.0,37.0,0.0,26.0,141.0,0.0,232.0,792.0,536.0,56.0,31.0,1261.0,4.0,4.0,4.0,0.0,642.0,3357.0,1719.0,640.0,611.0,2.0,1.0,27,0.0,3.0,331.0,73.0,24.0,FIFA 19,75
Rodrigo Palacio,35.0,FW,Serie A,28,23,2065,4,2,0,0,9,0,32.0,12.0,0.0,7959.0,1217.0,26.0,67.0,403.0,520.0,70.0,119.0,34.0,22.0,23.0,11.0,39.0,22.0,9.0,11.0,6.0,8.0,23.0,113.0,76.0,243.0,157.0,2.0,0.0,16.0,10.0,0.0,18.0,94.0,440.0,588.0,109.0,1022.0,44.0,80.0,47.0,4.0,777.0,5620.0,2829.0,1225.0,801.0,84.0,59.0,40,0.0,0.0,125.0,64.0,78.0,FIFA 19,77
Roger Martínez,23.0,FW,La Liga,8,2,235,1,0,0,0,1,0,10.0,3.0,0.0,590.0,65.0,0.0,1.0,41.0,51.0,3.0,9.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,10.0,3.0,19.0,17.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,34.0,57.0,17.0,92.0,6.0,9.0,6.0,0.0,80.0,500.0,231.0,127.0,80.0,4.0,3.0,5,0.0,0.0,5.0,2.0,2.0,FIFA 19,75
Rolando Mandragora,20.0,MF,Serie A,36,36,3240,2,0,0,0,8,0,38.0,10.0,1.0,20023.0,5546.0,19.0,46.0,831.0,1000.0,226.0,332.0,24.0,114.0,16.0,3.0,136.0,51.0,35.0,44.0,8.0,23.0,59.0,164.0,214.0,332.0,67.0,14.0,0.0,49.0,65.0,0.0,86.0,461.0,1048.0,296.0,24.0,1671.0,11.0,16.0,11.0,0.0,959.0,3991.0,2069.0,980.0,867.0,22.0,18.0,55,0.0,1.0,489.0,74.0,62.0,FIFA 19,75
Romain Amalfitano,27.0,MF,Ligue 1,33,31,2703,0,1,0,0,5,0,13.0,1.0,0.0,24954.0,6440.0,16.0,48.0,746.0,846.0,367.0,506.0,26.0,138.0,25.0,5.0,132.0,34.0,14.0,28.0,4.0,11.0,50.0,139.0,182.0,287.0,63.0,5.0,0.0,38.0,21.0,0.0,62.0,533.0,1116.0,264.0,9.0,1720.0,35.0,60.0,37.0,2.0,1298.0,9926.0,4344.0,1208.0,1142.0,44.0,42.0,35,0.0,0.0,308.0,6.0,12.0,FIFA 19,75
Romain Danzé,31.0,DF,Ligue 1,12,9,681,0,0,0,0,2,0,0.0,0.0,0.0,6304.0,2840.0,3.0,15.0,277.0,332.0,54.0,96.0,3.0,35.0,1.0,0.0,70.0,6.0,4.0,2.0,3.0,4.0,7.0,25.0,40.0,24.0,11.0,3.0,0.0,11.0,15.0,0.0,29.0,152.0,238.0,135.0,1.0,426.0,0.0,1.0,0.0,0.0,278.0,1136.0,616.0,311.0,287.0,3.0,4.0,6,0.0,0.0,71.0,6.0,4.0,FIFA 19,73
Romain Genevois,29.0,DF,Ligue 1,24,22,1809,0,1,0,0,4,1,7.0,2.0,0.0,12449.0,5372.0,9.0,38.0,374.0,455.0,178.0,294.0,6.0,46.0,12.0,8.0,78.0,20.0,23.0,12.0,4.0,10.0,22.0,78.0,145.0,84.0,17.0,8.0,0.0,17.0,64.0,1.0,86.0,485.0,401.0,144.0,9.0,905.0,3.0,4.0,4.0,0.0,499.0,3087.0,1642.0,503.0,484.0,8.0,4.0,24,0.0,0.0,224.0,23.0,7.0,FIFA 19,73
Romain Hamouma,30.0,FW,Ligue 1,29,22,1847,5,3,0,0,4,0,43.0,18.0,2.0,7532.0,2033.0,32.0,63.0,355.0,441.0,69.0,141.0,32.0,24.0,10.0,5.0,61.0,12.0,6.0,7.0,2.0,1.0,17.0,80.0,64.0,101.0,78.0,5.0,0.0,15.0,3.0,0.0,11.0,101.0,348.0,496.0,93.0,795.0,17.0,33.0,20.0,0.0,575.0,4599.0,2389.0,823.0,598.0,40.0,48.0,16,1.0,0.0,106.0,9.0,11.0,FIFA 19,77
Romain Perraud,19.0,MF,Ligue 1,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,20.0,18.0,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,FIFA 19,67
Romain Thomas,29.0,DF,Ligue 1,28,28,2470,2,0,0,0,5,0,19.0,7.0,0.0,22156.0,8989.0,3.0,10.0,586.0,672.0,368.0,523.0,4.0,62.0,1.0,0.0,66.0,21.0,22.0,9.0,0.0,8.0,13.0,56.0,96.0,42.0,10.0,20.0,1.0,27.0,98.0,5.0,187.0,886.0,581.0,47.0,26.0,1422.0,2.0,2.0,2.0,0.0,815.0,4103.0,1993.0,869.0,834.0,5.0,3.0,23,0.0,2.0,303.0,30.0,16.0,FIFA 19,76
Romelu Lukaku,24.0,FW,Premier League,34,33,2867,16,7,0,1,4,0,82.0,41.0,3.0,6960.0,1582.0,26.0,67.0,419.0,585.0,50.0,95.0,32.0,35.0,36.0,6.0,62.0,3.0,1.0,3.0,3.0,0.0,11.0,80.0,18.0,136.0,169.0,3.0,0.0,12.0,24.0,4.0,29.0,60.0,444.0,624.0,157.0,1033.0,37.0,54.0,39.0,0.0,657.0,4116.0,2141.0,1459.0,861.0,71.0,52.0,31,0.0,0.0,84.0,65.0,60.0,FIFA 19,87
Rominigue Kouamé,20.0,DF,Ligue 1,6,1,200,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,524.0,1.0,3.0,96.0,109.0,21.0,27.0,6.0,8.0,2.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,10.0,15.0,2.0,0.0,0.0,3.0,0.0,0.0,4.0,49.0,102.0,28.0,2.0,155.0,6.0,9.0,6.0,0.0,121.0,958.0,486.0,123.0,110.0,5.0,5.0,3,0.0,1.0,24.0,1.0,2.0,FIFA 19,66
Ronaël Pierre-Gabriel,19.0,DF,Ligue 1,16,13,1171,0,0,0,0,2,1,5.0,3.0,0.0,8194.0,3288.0,5.0,20.0,411.0,477.0,65.0,105.0,7.0,40.0,5.0,3.0,68.0,19.0,25.0,10.0,4.0,11.0,10.0,26.0,73.0,35.0,6.0,0.0,0.0,16.0,14.0,0.0,40.0,254.0,367.0,155.0,6.0,630.0,15.0,19.0,15.0,2.0,457.0,3108.0,1670.0,445.0,409.0,12.0,12.0,12,0.0,1.0,100.0,5.0,3.0,FIFA 19,72
Ronny Rodelin,27.0,FW,Ligue 1,37,36,3162,5,5,0,1,1,0,111.0,29.0,9.0,17880.0,5333.0,25.0,74.0,664.0,910.0,225.0,353.0,57.0,120.0,35.0,12.0,180.0,15.0,3.0,15.0,6.0,4.0,31.0,92.0,57.0,236.0,134.0,2.0,0.0,37.0,29.0,0.0,43.0,201.0,894.0,800.0,119.0,1697.0,51.0,70.0,56.0,2.0,1122.0,7953.0,4344.0,1692.0,1275.0,71.0,36.0,20,0.0,0.0,237.0,55.0,40.0,FIFA 19,76
Ross Barkley,23.0,MF,Premier League,2,2,129,0,0,0,0,0,0,2.0,2.0,0.0,620.0,130.0,2.0,2.0,30.0,39.0,6.0,10.0,2.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,4.0,1.0,0.0,2.0,1.0,0.0,1.0,6.0,29.0,33.0,6.0,65.0,3.0,3.0,3.0,0.0,52.0,342.0,152.0,66.0,53.0,2.0,3.0,1,0.0,0.0,6.0,0.0,5.0,FIFA 19,79
Ruben Aguilar,24.0,DF,Ligue 1,31,27,2459,0,3,0,0,2,0,15.0,5.0,0.0,18488.0,8970.0,29.0,68.0,925.0,1092.0,160.0,318.0,31.0,90.0,30.0,20.0,232.0,27.0,33.0,27.0,11.0,28.0,29.0,131.0,243.0,157.0,65.0,2.0,0.0,55.0,54.0,1.0,62.0,507.0,825.0,616.0,34.0,1519.0,19.0,39.0,24.0,1.0,1078.0,7110.0,4700.0,1145.0,1039.0,27.0,30.0,28,0.0,0.0,211.0,9.0,14.0,FIFA 19,77
Ruben Loftus-Cheek,21.0,MF,Premier League,24,21,1874,2,3,0,0,1,0,32.0,7.0,0.0,8808.0,2729.0,25.0,51.0,488.0,558.0,69.0,102.0,23.0,58.0,30.0,2.0,81.0,11.0,5.0,9.0,1.0,5.0,11.0,103.0,127.0,192.0,56.0,4.0,0.0,28.0,22.0,0.0,32.0,198.0,488.0,474.0,80.0,1009.0,55.0,89.0,60.0,4.0,826.0,7192.0,4603.0,915.0,711.0,42.0,44.0,17,0.0,0.0,171.0,15.0,26.0,FIFA 19,77
Ryad Boudebouz,27.0,MF,La Liga,27,15,1364,2,3,0,0,2,0,19.0,12.0,2.0,11034.0,2439.0,3.0,14.0,521.0,639.0,110.0,187.0,29.0,51.0,18.0,2.0,64.0,18.0,6.0,13.0,5.0,4.0,17.0,78.0,68.0,172.0,87.0,1.0,0.0,19.0,6.0,0.0,12.0,102.0,552.0,430.0,37.0,953.0,34.0,53.0,36.0,3.0,813.0,4369.0,2262.0,890.0,765.0,29.0,27.0,20,0.0,0.0,96.0,7.0,10.0,FIFA 19,80
Ryan Bertrand,27.0,DF,Premier League,35,35,3135,0,4,0,0,2,0,20.0,4.0,3.0,23795.0,10458.0,39.0,101.0,1201.0,1400.0,215.0,420.0,32.0,127.0,39.0,13.0,239.0,19.0,21.0,14.0,4.0,16.0,18.0,93.0,143.0,92.0,47.0,14.0,0.0,53.0,50.0,1.0,96.0,548.0,915.0,904.0,54.0,1873.0,19.0,42.0,21.0,1.0,1353.0,7788.0,4208.0,1498.0,1351.0,27.0,28.0,32,0.0,0.0,279.0,27.0,28.0,FIFA 19,79
Ryan Fraser,23.0,MF,Premier League,26,23,2004,5,3,0,0,0,0,31.0,13.0,1.0,12253.0,4738.0,14.0,45.0,558.0,711.0,124.0,252.0,45.0,37.0,40.0,17.0,135.0,2.0,7.0,1.0,4.0,5.0,8.0,47.0,119.0,102.0,40.0,3.0,0.0,27.0,22.0,0.0,32.0,229.0,447.0,623.0,63.0,1106.0,5.0,19.0,6.0,0.0,826.0,5446.0,3222.0,940.0,822.0,25.0,22.0,6,0.0,0.0,171.0,5.0,14.0,FIFA 19,75
Ryan Kent,20.0,FW,Bundesliga,6,1,245,0,0,0,0,1,0,8.0,1.0,0.0,753.0,155.0,1.0,2.0,34.0,51.0,9.0,14.0,1.0,6.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,2.0,17.0,11.0,50.0,34.0,0.0,0.0,4.0,1.0,0.0,1.0,11.0,58.0,55.0,7.0,112.0,3.0,8.0,3.0,0.0,91.0,696.0,456.0,117.0,81.0,12.0,5.0,3,0.0,0.0,17.0,0.0,9.0,FIFA 19,69
Ryan Shawcross,29.0,DF,Premier League,27,27,2371,1,1,0,0,2,0,26.0,8.0,1.0,10330.0,4444.0,2.0,11.0,298.0,413.0,155.0,265.0,1.0,47.0,2.0,0.0,48.0,11.0,23.0,7.0,1.0,11.0,18.0,60.0,138.0,52.0,9.0,24.0,0.0,30.0,182.0,4.0,202.0,625.0,380.0,62.0,38.0,1017.0,3.0,3.0,3.0,0.0,316.0,2091.0,1097.0,375.0,338.0,3.0,0.0,26,0.0,1.0,339.0,71.0,38.0,FIFA 19,77
Rémi Walter,22.0,MF,Ligue 1,20,18,1488,1,0,0,0,1,0,11.0,5.0,0.0,10169.0,2273.0,8.0,20.0,435.0,493.0,112.0,150.0,6.0,47.0,5.0,2.0,39.0,12.0,10.0,11.0,2.0,4.0,24.0,84.0,131.0,204.0,37.0,5.0,0.0,16.0,7.0,0.0,29.0,216.0,443.0,190.0,10.0,782.0,11.0,16.0,13.0,0.0,553.0,3279.0,1496.0,516.0,471.0,16.0,23.0,19,0.0,0.0,203.0,10.0,17.0,FIFA 19,73
Rémy Cabella,27.0,MF,Ligue 1,29,25,2323,8,5,1,3,3,0,60.0,24.0,3.0,20971.0,5821.0,34.0,67.0,1001.0,1165.0,207.0,325.0,57.0,135.0,40.0,8.0,184.0,37.0,28.0,19.0,12.0,19.0,42.0,115.0,77.0,218.0,137.0,0.0,0.0,38.0,3.0,0.0,12.0,245.0,1041.0,856.0,101.0,1841.0,50.0,79.0,54.0,2.0,1454.0,12253.0,7300.0,1669.0,1441.0,48.0,61.0,25,0.0,0.0,192.0,3.0,10.0,FIFA 19,78
Sadio Mané,25.0,FW,Premier League,29,28,2190,10,7,0,0,3,1,71.0,25.0,0.0,12390.0,2510.0,18.0,53.0,644.0,768.0,104.0,146.0,45.0,42.0,59.0,9.0,103.0,20.0,9.0,8.0,7.0,5.0,19.0,122.0,85.0,167.0,136.0,2.0,0.0,19.0,8.0,0.0,12.0,104.0,545.0,799.0,154.0,1304.0,43.0,74.0,50.0,2.0,1008.0,8244.0,4481.0,1442.0,1068.0,78.0,43.0,24,0.0,0.0,137.0,17.0,31.0,FIFA 19,86
Saido Berahino,23.0,FW,Premier League,15,3,494,0,1,0,1,0,0,9.0,3.0,0.0,1124.0,157.0,1.0,6.0,57.0,72.0,11.0,17.0,3.0,2.0,4.0,1.0,6.0,2.0,0.0,1.0,1.0,0.0,1.0,9.0,5.0,21.0,28.0,0.0,0.0,5.0,2.0,0.0,2.0,7.0,49.0,99.0,24.0,141.0,3.0,4.0,4.0,0.0,101.0,700.0,217.0,198.0,99.0,13.0,11.0,6,1.0,0.0,24.0,4.0,7.0,FIFA 19,71
Salif Sané,26.0,DF,Bundesliga,32,32,2879,4,1,0,0,6,0,30.0,11.0,2.0,33220.0,12251.0,10.0,29.0,926.0,1062.0,511.0,696.0,8.0,101.0,7.0,0.0,155.0,35.0,38.0,14.0,1.0,21.0,33.0,92.0,206.0,73.0,3.0,33.0,1.0,31.0,270.0,4.0,310.0,1292.0,1029.0,107.0,40.0,2134.0,23.0,25.0,23.0,0.0,1271.0,9146.0,5036.0,1174.0,1159.0,12.0,14.0,35,0.0,1.0,513.0,175.0,23.0,FIFA 19,81
Salih Özcan,19.0,MF,Bundesliga,23,19,1670,0,1,0,0,5,0,13.0,3.0,0.0,12712.0,3294.0,13.0,33.0,591.0,724.0,122.0,171.0,20.0,73.0,16.0,0.0,87.0,38.0,26.0,21.0,6.0,16.0,33.0,150.0,187.0,290.0,50.0,8.0,0.0,26.0,36.0,0.0,47.0,264.0,754.0,202.0,29.0,1130.0,12.0,18.0,12.0,0.0,714.0,3570.0,1856.0,823.0,706.0,31.0,22.0,52,0.0,1.0,256.0,59.0,52.0,FIFA 19,70
Saliou Ciss,27.0,DF,Ligue 1,3,2,144,0,0,0,0,0,0,1.0,1.0,0.0,588.0,293.0,0.0,2.0,27.0,36.0,8.0,16.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,20.0,16.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,27.0,32.0,21.0,3.0,71.0,2.0,5.0,2.0,3.0,61.0,508.0,303.0,65.0,55.0,3.0,2.0,2,0.0,0.0,9.0,1.0,1.0,FIFA 19,70
Salomon Kalou,31.0,FW,Bundesliga,31,27,2207,12,3,1,2,0,0,48.0,22.0,0.0,6705.0,2107.0,14.0,43.0,384.0,505.0,48.0,87.0,17.0,36.0,12.0,2.0,65.0,11.0,10.0,6.0,2.0,7.0,20.0,106.0,88.0,239.0,104.0,4.0,0.0,36.0,17.0,0.0,28.0,144.0,476.0,401.0,91.0,925.0,42.0,71.0,46.0,1.0,680.0,4860.0,3046.0,964.0,655.0,59.0,42.0,22,0.0,0.0,153.0,35.0,55.0,FIFA 19,79
Salomón Rondón,27.0,FW,Premier League,36,32,2767,7,3,0,0,4,0,82.0,28.0,1.0,8373.0,1518.0,17.0,73.0,476.0,642.0,70.0,124.0,22.0,39.0,14.0,2.0,53.0,11.0,3.0,6.0,7.0,4.0,21.0,115.0,40.0,217.0,191.0,0.0,0.0,27.0,17.0,0.0,21.0,100.0,611.0,700.0,139.0,1286.0,51.0,96.0,61.0,9.0,863.0,5604.0,2369.0,1729.0,960.0,132.0,92.0,41,0.0,0.0,176.0,75.0,119.0,FIFA 19,77
Sam Baldock,28.0,FW,Premier League,2,0,32,0,0,0,0,0,0,0.0,0.0,0.0,38.0,10.0,0.0,0.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,3.0,9.0,0.0,0.0,0.0,0.0,9.0,31.0,20.0,10.0,9.0,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,FIFA 19,69
Sam Byram,23.0,DF,Premier League,5,2,248,0,0,0,0,1,0,5.0,0.0,0.0,1256.0,720.0,2.0,6.0,61.0,88.0,11.0,31.0,2.0,7.0,4.0,2.0,22.0,2.0,6.0,2.0,1.0,4.0,3.0,12.0,26.0,18.0,10.0,1.0,0.0,7.0,12.0,0.0,15.0,53.0,65.0,58.0,7.0,143.0,3.0,5.0,4.0,2.0,72.0,388.0,216.0,89.0,74.0,3.0,2.0,4,0.0,0.0,31.0,10.0,9.0,FIFA 19,72
Sam Clucas,26.0,MF,Premier League,29,23,2044,3,1,0,0,2,0,21.0,7.0,0.0,12407.0,2941.0,10.0,33.0,524.0,596.0,135.0,222.0,17.0,49.0,5.0,1.0,73.0,16.0,17.0,12.0,2.0,11.0,27.0,90.0,154.0,147.0,53.0,8.0,0.0,36.0,17.0,1.0,33.0,237.0,554.0,311.0,36.0,970.0,5.0,9.0,5.0,0.0,627.0,3895.0,1819.0,784.0,637.0,24.0,13.0,10,0.0,0.0,186.0,23.0,19.0,FIFA 19,73
