Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,AD_Won%
1427,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,Manchester Utd,eng Premier League,26,1992,10.4,3,0,0,28,11,0,5,6,9,0,0,0,52,1,10,9.1
1428,Pol Lirola\Pol-Lirola,es ESP,DF,Fiorentina,it Serie A,21,1997,29.4,4,0,0,16,7,1,67,24,20,0,1,0,228,11,22,33.3
1429,Diego Llorente\Diego-Llorente,es ESP,DF,Real Sociedad,es La Liga,25,1993,25.9,7,1,1,21,17,3,1,19,21,1,2,0,301,63,47,57.3
1430,Fernando Llorente\Fernando-Llorente,es ESP,FW,Napoli,it Serie A,34,1985,5.6,1,0,0,11,9,3,1,1,1,0,0,0,15,28,23,54.9
1431,Marcos Llorente\Marcos-Llorente,es ESP,MFFW,Atlético Madrid,es La Liga,24,1995,15.2,4,0,0,24,13,4,18,6,22,1,0,0,125,15,21,41.7
1432,Gautier Lloris\Gautier-Lloris,fr FRA,DF,Nice,fr Ligue 1,24,1995,3,1,0,0,1,1,0,0,2,4,0,0,1,20,5,4,55.6
1433,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,eng Premier League,32,1986,20.1,0,0,0,0,1,0,0,0,0,0,0,0,93,0,0,
1434,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MFFW,Tottenham,eng Premier League,23,1996,16.6,6,0,0,28,45,0,18,14,33,0,0,0,167,7,24,22.6
1435,Stanislav Lobotka\Stanislav-Lobotka,sk SVK,MF,Celta Vigo,es La Liga,24,1994,15.4,1,0,0,11,22,1,3,7,17,0,0,0,147,8,12,40
1436,Stanislav Lobotka\Stanislav-Lobotka,sk SVK,MF,Napoli,it Serie A,24,1994,8.4,0,0,0,7,15,0,1,6,10,0,0,0,68,2,7,22.2
1437,Jürgen Locadia\Jurgen-Locadia,nl NED,MFFW,Brighton,eng Premier League,25,1993,1,0,0,0,0,2,0,0,0,1,0,0,0,8,1,2,33.3
1438,Jürgen Locadia\Jurgen-Locadia,nl NED,FW,Hoffenheim,de Bundesliga,25,1993,5.9,1,0,0,7,8,6,4,0,4,0,0,0,20,9,10,47.4
1439,Manuel Locatelli\Manuel-Locatelli,it ITA,MF,Sassuolo,it Serie A,21,1998,28.7,9,0,0,46,58,0,26,16,58,0,0,1,271,28,33,45.9
1440,Renan Lodi\Renan-Lodi,br BRA,DF,Atlético Madrid,es La Liga,21,1998,26.6,6,1,1,42,44,11,80,22,46,0,0,0,225,27,31,46.6
1441,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Chelsea,eng Premier League,23,1996,2.3,0,0,0,2,3,0,1,0,0,0,0,0,23,1,4,20
1442,Enzo Loiodice\Enzo-Loiodice,fr FRA,MF,Dijon,fr Ligue 1,18,2000,2.1,0,0,0,7,0,0,0,3,5,0,0,0,15,1,4,20
1443,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,eng Premier League,28,1990,6.3,0,0,0,9,6,0,0,1,8,0,0,0,64,22,16,57.9
1444,Shane Long\Shane-Long,ie IRL,FW,Southampton,eng Premier League,32,1987,15.5,0,0,0,32,25,12,21,2,15,0,0,0,81,114,128,47.1
1445,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,19,2000,6.4,1,0,0,6,6,0,3,6,3,0,0,0,57,4,3,57.1
1446,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,21,1997,15.3,2,1,0,17,26,0,20,19,21,0,0,0,170,12,20,37.5
1447,Ademola Lookman\Ademola-Lookman,eng ENG,MFFW,RB Leipzig,de Bundesliga,21,1997,3.4,0,0,0,8,4,0,10,2,5,0,1,0,34,1,3,25
1448,Anthony Lopes\Anthony-Lopes,pt POR,GK,Lyon,fr Ligue 1,28,1990,26,1,0,0,0,6,0,0,0,0,0,0,1,133,0,0,
1449,Rony Lopes\Rony-Lopes,pt POR,FW,Sevilla,es La Liga,23,1995,1.5,0,0,0,0,1,0,1,1,1,0,0,0,13,0,3,0
1450,Rony Lopes\Rony-Lopes,pt POR,FW,Monaco,fr Ligue 1,23,1995,0.9,0,0,0,0,3,1,0,0,1,0,0,0,3,1,4,20
1451,Adrián López\Adrian-Lopez,es ESP,FWMF,Osasuna,es La Liga,31,1988,16,0,0,0,9,6,6,18,6,6,0,0,0,65,43,67,39.1
1452,David López\David-Lopez,es ESP,DFMF,Espanyol,es La Liga,29,1989,27.3,5,1,1,33,25,1,5,23,30,0,0,0,342,68,53,56.2
1453,Diego López\Diego-Lopez,es ESP,GK,Espanyol,es La Liga,37,1981,35.9,5,1,1,1,5,0,0,0,2,0,0,0,210,0,0,
1454,Javi López\Javi-Lopez,es ESP,DF,Alavés,es La Liga,17,2002,1,0,0,0,1,0,0,2,0,3,0,1,0,6,1,0,100
1455,Javi López\Javi-Lopez,es ESP,DF,Espanyol,es La Liga,33,1986,15.4,5,1,1,28,23,0,24,11,26,0,0,0,181,31,17,64.6
1456,Lluis López\Lluis-Lopez,es ESP,DF,Espanyol,es La Liga,22,1997,3.3,1,0,0,2,1,0,0,1,1,0,0,0,25,4,2,66.7
1457,Maxime Lopez\Maxime-Lopez,fr FRA,MFFW,Marseille,fr Ligue 1,21,1997,12.3,2,0,0,9,5,1,18,7,10,0,0,0,80,2,13,13.3
1458,Pau López\Pau-Lopez,es ESP,GK,Roma,it Serie A,24,1994,32,3,0,0,1,2,0,0,0,0,0,0,0,162,0,0,
1459,Roberto López\Roberto-Lopez,es ESP,MF,Real Sociedad,es La Liga,19,2000,0.6,0,0,0,0,0,0,1,0,2,0,0,0,8,3,3,50
1460,Unai López\Unai-Lopez,es ESP,MF,Athletic Club,es La Liga,23,1995,19.9,6,0,0,37,17,1,42,13,27,0,0,0,212,24,24,50
1461,Iker Losada\Iker-Losada,es ESP,MFFW,Celta Vigo,es La Liga,17,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,100
1462,Albert Lottin\Albert-Lottin,fr FRA,MF,Bordeaux,fr Ligue 1,17,2001,0.5,0,0,0,0,0,0,0,3,3,0,0,0,3,1,0,100
1463,Imran Louza\Imran-Louza,fr FRA,MFFW,Nantes,fr Ligue 1,20,1999,22.3,4,0,0,46,33,0,23,13,45,0,1,0,191,22,53,29.3
1464,Matteo Lovato\Matteo-Lovato,it ITA,DF,Hellas Verona,it Serie A,19,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
