Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
65,Allan\Allan,br BRA,MF,Napoli,it Serie A,27,1991,33,28,2616,1,3,0,0,10,0
66,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,22,1996,25,22,1825,5,3,0,0,4,0
67,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,eng Premier League,24,1994,10,9,759,0,0,0,0,0,0
68,Júnior Alonso\Junior-Alonso,py PAR,DFMF,Celta Vigo,es La Liga,25,1993,9,6,536,0,0,0,0,2,0
69,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,31,31,2759,2,4,0,0,6,0
70,Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,fr Ligue 1,29,1989,11,6,571,1,0,0,0,0,0
71,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13,13,1170,0,0,0,0,1,0
72,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,26,1992,19,12,1069,0,0,0,0,1,0
73,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,30,30,2613,0,0,0,0,10,0
74,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,36,1981,33,33,2922,4,1,0,0,9,1
75,Dani Alves\Dani-Alves,br BRA,MFDF,Paris S-G,fr Ligue 1,35,1983,23,19,1622,1,7,0,0,4,0
76,Alfons Amade\Alfons-Amade,de GER,MF,Hoffenheim,de Bundesliga,18,1999,1,0,9,0,0,0,0,0,0
77,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MFDF,Sevilla,es La Liga,25,1993,17,7,762,0,0,0,0,2,0
78,Romain Amalfitano\Romain-Amalfitano,fr FRA,MFFW,Dijon,fr Ligue 1,28,1989,32,30,2522,0,0,0,0,3,1
