Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Att_VD,Tkl%_VD,Past_VD,Press,Press_Succ,Press%,P_D3,P_M3,P_A3,Blocks,Sh_Blk,ShSv,Pass_Blk,Int,Tkl+Int,Clr,Err
636,Fousseni Diabaté\Fousseni-Diabate,ml MLI,FW,Leicester City,eng Premier League,22,1995,0.6,3,3,3,0,0,0,1,0,1,17,9,52.9,8,7,2,1,0,0,1,0,3,0,0
637,Moussa Diaby\Moussa-Diaby,fr FRA,MFFW,Paris S-G,fr Ligue 1,19,1999,12.7,15,12,5,8,2,5,20,25,15,262,70,26.7,80,109,73,12,1,0,11,10,25,4,0
638,Adama Diakhaby\Adama-Diakhaby,fr FRA,FWMF,Huddersfield,eng Premier League,22,1996,6.1,4,3,3,1,0,1,12,8.3,11,125,23,18.4,44,49,32,8,0,0,8,1,5,0,0
639,Mouctar Diakhaby\Mouctar-Diakhaby,fr FRA,DF,Valencia,es La Liga,21,1996,17.6,11,9,9,1,1,3,11,27.3,8,117,35,29.9,80,33,4,33,16,0,17,20,31,102,0
640,Bafodé Diakité\Bafode-Diakite,fr FRA,DF,Toulouse,fr Ligue 1,17,2001,7,13,7,5,7,1,8,17,47.1,9,126,40,31.7,74,43,9,25,5,0,20,10,23,32,0
641,Abdou Diallo\Abdou-Diallo,fr FRA,DF,Dortmund,de Bundesliga,22,1996,26.4,37,23,23,13,1,9,20,45,11,246,79,32.1,145,91,10,48,14,1,34,31,68,102,3
642,Abdoulaye Diallo\Abdoulaye-Diallo,sn SEN,GK,Rennes,fr Ligue 1,26,1992,5.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
643,Mustapha Diallo\Mustapha-Diallo,sn SEN,MF,Nîmes,fr Ligue 1,32,1986,5.1,16,14,6,9,1,0,13,0,13,91,23,25.3,22,60,9,6,1,0,5,12,28,12,2
644,Mohamed Diamé\Mohamed-Diame,sn SEN,MF,Newcastle Utd,eng Premier League,31,1987,24.1,72,48,32,38,2,16,64,25,48,695,166,23.9,263,375,57,50,10,0,40,30,102,39,0
645,Grady Diangana\Grady-Diangana,eng ENG,FWMF,West Ham,eng Premier League,20,1998,6.8,21,10,7,6,8,8,14,57.1,6,212,53,25,72,96,44,11,0,0,11,2,23,3,0
646,Lassana Diarra\Lassana-Diarra,fr FRA,MF,Paris S-G,fr Ligue 1,33,1985,1.8,2,2,0,2,0,1,3,33.3,2,36,10,27.8,11,25,0,2,0,0,2,1,3,4,0
647,Amadou Diawara\Amadou-Diawara,gn GUI,MF,Napoli,it Serie A,21,1997,7.3,13,10,4,7,2,4,11,36.4,7,155,43,27.7,34,89,32,7,0,0,7,10,23,5,0
648,Brahim Díaz\Brahim-Diaz,es ESP,FW,Real Madrid,es La Liga,18,1999,4.2,10,5,7,2,1,1,4,25,3,57,18,31.6,9,28,20,1,0,0,1,0,10,0,0
649,Javier Díaz\Javier-Diaz,es ESP,GK,Sevilla,es La Liga,21,1997,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
650,Bakaye Dibassy\Bakaye-Dibassy,ml MLI,DF,Amiens,fr Ligue 1,28,1989,32.7,40,28,25,11,4,14,34,41.2,20,318,108,34,155,129,34,64,22,1,42,44,84,121,1
651,Lorenzo Dickmann\Lorenzo-Dickmann,it ITA,DFMF,SPAL,it Serie A,21,1996,1.9,3,2,3,0,0,3,5,60,2,61,12,19.7,36,15,10,2,0,0,2,1,4,4,0
652,Daniel Didavi\Daniel-Didavi,de GER,MFFW,Stuttgart,de Bundesliga,28,1990,10.6,24,14,10,11,3,5,19,26.3,14,191,53,27.7,34,99,58,11,0,0,11,4,28,4,0
653,Étienne Didot\Etienne-Didot,fr FRA,MF,Guingamp,fr Ligue 1,35,1983,23.4,45,35,10,31,4,19,61,31.1,42,541,128,23.7,154,318,69,44,7,1,37,38,83,37,1
654,Adrián Diéguez\Adrian-Dieguez,es ESP,DF,Huesca,es La Liga,22,1996,8.3,16,10,14,1,1,4,15,26.7,11,108,26,24.1,77,28,3,13,3,0,10,12,28,52,2
655,Eric Dier\Eric-Dier,eng ENG,MF,Tottenham,eng Premier League,24,1994,16.7,25,12,8,12,5,7,31,22.6,24,264,77,29.2,88,152,24,33,10,0,23,21,46,43,0
656,Tim Dierßen\Tim-Dierssen,de GER,FW,Hannover 96,de Bundesliga,22,1996,0.2,0,0,0,0,0,0,0,,0,9,1,11.1,2,7,0,1,0,0,1,0,0,0,0
657,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,eng Premier League,25,1993,32.9,84,45,47,27,10,21,45,46.7,24,504,158,31.3,275,143,86,74,9,0,65,58,142,118,0
658,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,eng Premier League,27,1991,37.6,35,25,27,8,0,13,14,92.9,1,165,55,33.3,98,60,7,43,20,0,23,42,77,227,0
659,Mitchell Dijks\Mitchell-Dijks,nl NED,DFMF,Bologna,it Serie A,25,1993,22.5,41,25,26,10,5,16,44,36.4,28,308,97,31.5,136,119,53,33,3,0,30,22,63,42,0
660,Javairô Dilrosun\Javairo-Dilrosun,nl NED,FWMF,Hertha BSC,de Bundesliga,20,1998,10,11,9,6,4,1,4,14,28.6,10,161,43,26.7,44,79,38,23,2,1,21,8,19,5,0
661,Federico Dimarco\Federico-Dimarco,it ITA,DF,Parma,it Serie A,20,1997,9.9,21,13,8,10,3,7,28,25,21,216,49,22.7,122,66,28,30,7,2,23,16,37,23,0
662,Stole Dimitrievski\Stole-Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,24,1993,21,0,0,0,0,0,0,1,0,1,3,0,0,3,0,0,1,0,0,1,0,0,0,0
663,Tristan Dingomé\Tristan-Dingome,cm CMR,MF,Reims,fr Ligue 1,27,1991,14.9,30,16,13,11,6,8,26,30.8,18,501,98,19.6,102,278,121,22,4,0,18,10,40,6,0
664,Ismaël Diomandé\Ismael-Diomande,ci CIV,MFDF,Caen,fr Ligue 1,25,1992,14.4,27,17,15,12,0,4,21,19,17,263,64,24.3,122,130,11,24,9,0,15,13,40,45,0
665,Federico Dionisi\Federico-Dionisi,it ITA,FW,Frosinone,it Serie A,31,1987,2.3,5,3,1,2,2,0,1,0,1,42,9,21.4,3,18,21,0,0,0,0,0,5,0,0
666,Lois Diony\Lois-Diony,fr FRA,FW,Saint-Étienne,fr Ligue 1,25,1992,17.7,16,12,4,6,6,2,12,16.7,10,277,63,22.7,23,153,101,12,0,0,12,2,18,9,0
667,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,eng Premier League,21,1997,33,67,34,50,17,0,23,49,46.9,26,265,80,30.2,179,81,5,81,38,0,43,60,127,163,2
668,Papakouli Diop\Papakouli-Diop,sn SEN,MF,Eibar,es La Liga,32,1986,26.1,63,46,15,39,9,19,44,43.2,25,485,175,36.1,87,304,94,29,3,0,26,37,100,52,0
669,Sofiane Diop\Sofiane-Diop,fr FRA,MFFW,Monaco,fr Ligue 1,18,2000,8.2,12,8,6,4,2,1,18,5.6,17,218,64,29.4,59,109,50,14,0,0,14,8,20,3,0
670,Assane Dioussé\Assane-Diousse,sn SEN,MF,Chievo,it Serie A,20,1997,9.9,30,24,18,9,3,10,24,41.7,14,261,75,28.7,98,136,27,18,4,0,14,20,50,18,1
671,Assane Dioussé\Assane-Diousse,sn SEN,MF,Saint-Étienne,fr Ligue 1,20,1997,2.4,7,6,4,3,0,3,5,60,2,40,8,20,17,22,1,5,0,0,5,1,8,3,0
672,Axel Disasi\Axel-Disasi,fr FRA,DF,Reims,fr Ligue 1,20,1998,1.8,2,1,2,0,0,1,2,50,1,15,7,46.7,13,1,1,4,1,0,3,2,4,17,0
673,Djené\Djene,tg TOG,DF,Getafe,es La Liga,26,1991,33.1,54,36,41,12,1,17,39,43.6,22,370,136,36.8,201,154,15,37,8,0,29,74,128,185,2
674,Koffi Djidji\Koffi-Djidji,ci CIV,DF,Torino,it Serie A,25,1992,15.4,42,27,29,12,1,15,29,51.7,14,215,76,35.3,151,59,5,54,19,1,35,23,65,77,1
675,Koffi Djidji\Koffi-Djidji,ci CIV,DF,Nantes,fr Ligue 1,25,1992,1,2,1,2,0,0,2,4,50,2,6,2,33.3,5,1,0,1,1,0,0,1,3,4,1
676,Alexander Djiku\Alexander-Djiku,fr FRA,DF,Caen,fr Ligue 1,23,1994,30.6,68,38,47,19,2,26,63,41.3,37,269,86,32,193,66,10,71,34,1,37,78,146,215,2
677,Papy Djilobodji\Papy-Djilobodji,sn SEN,DFFW,Guingamp,fr Ligue 1,29,1988,1.9,3,1,3,0,0,0,1,0,1,13,4,30.8,7,5,1,3,2,0,1,0,3,15,0
678,Berat Djimsiti\Berat-Djimsiti,al ALB,DF,Atalanta,it Serie A,25,1993,20.1,42,22,23,18,1,15,28,53.6,13,253,88,34.8,141,104,8,30,10,0,20,36,78,99,2
679,Johan Djourou\Johan-Djourou,ch SUI,DF,SPAL,it Serie A,31,1987,3.1,3,2,3,0,0,2,5,40,3,24,4,16.7,20,4,0,5,2,0,3,4,7,14,0
680,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,es La Liga,26,1992,24,0,0,0,0,0,0,2,0,2,3,1,33.3,3,0,0,0,0,0,0,2,2,0,2
681,Matt Doherty\Matt-Doherty,ie IRL,DFMF,Wolves,eng Premier League,26,1992,34.9,68,33,50,16,2,34,63,54,29,457,108,23.6,234,170,53,80,8,0,72,60,128,98,0
682,Keagan Dolly\Keagan-Dolly,za RSA,FW,Montpellier,fr Ligue 1,25,1993,1,1,1,0,1,0,0,4,0,4,30,9,30,7,13,10,0,0,0,0,0,1,0,0
683,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,es La Liga,27,1990,4,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
684,Giulio Donati\Giulio-Donati,it ITA,DF,Mainz 05,de Bundesliga,28,1990,6.9,13,8,8,3,2,8,12,66.7,4,74,28,37.8,35,30,9,12,3,1,9,19,32,27,0
685,Ji Dong-won\Ji-Dong-won,kr KOR,FWMF,Augsburg,de Bundesliga,27,1991,9.9,12,9,5,3,4,3,8,37.5,5,179,39,21.8,36,91,52,14,1,0,13,8,20,13,0
686,Anastasios Donis\Anastasios-Donis,gr GRE,FWMF,Stuttgart,de Bundesliga,21,1996,10.7,19,15,10,5,4,2,9,22.2,7,204,37,18.1,34,91,79,4,1,0,3,5,24,3,0
687,Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,it Serie A,19,1999,34.3,0,0,0,0,0,0,1,0,1,4,0,0,4,0,0,0,0,0,0,1,1,0,1
688,Godfred Donsah\Godfred-Donsah,gh GHA,MF,Bologna,it Serie A,22,1996,1.7,5,4,4,0,1,3,4,75,1,51,10,19.6,19,24,8,3,1,0,2,1,6,8,0
689,Riccardo Doratiotto\Riccardo-Doratiotto,it ITA,FW,Cagliari,it Serie A,19,1999,0.9,1,1,0,0,1,0,0,,0,18,3,16.7,0,5,13,0,0,0,0,0,1,0,0
690,Gabriel Dos Santos\Gabriel-Dos-Santos,br BRA,DF,Lille,fr Ligue 1,20,1997,11.8,21,11,17,4,0,5,7,71.4,2,95,29,30.5,74,18,3,20,10,1,10,20,41,90,1
691,Mathieu Dossevi\Mathieu-Dossevi,tg TOG,FWMF,Toulouse,fr Ligue 1,30,1988,27.4,44,31,21,12,11,12,43,27.9,31,563,140,24.9,161,226,176,51,1,0,50,32,76,6,0
692,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,eng Premier League,25,1993,34,71,48,33,29,9,15,52,28.8,37,731,198,27.1,255,352,124,35,7,0,28,32,103,43,3
693,Cheick Doukouré\Cheick-Doukoure,ci CIV,MF,Levante,es La Liga,25,1992,3.5,11,10,4,6,1,2,12,16.7,10,112,21,18.8,42,62,8,8,2,0,6,3,14,3,1
694,Moussa Doumbia\Moussa-Doumbia,ml MLI,FWMF,Reims,fr Ligue 1,23,1994,17.8,22,18,12,7,3,6,53,11.3,47,375,93,24.8,133,156,86,18,1,0,17,8,30,8,0
695,Seydou Doumbia\Seydou-Doumbia,ci CIV,FW,Girona,es La Liga,30,1987,6,6,4,1,2,3,2,4,50,2,109,29,26.6,5,52,52,4,0,0,4,3,9,1,0
696,Souleyman Doumbia\Souleyman-Doumbia,ci CIV,DF,Rennes,fr Ligue 1,21,1996,6.7,12,8,8,4,0,4,8,50,4,82,20,24.4,48,26,8,13,1,0,12,3,15,21,0
697,Aleksandar Dragović\Aleksandar-Dragovic,at AUT,DF,Leverkusen,de Bundesliga,27,1991,14.8,20,11,15,4,1,8,17,47.1,9,100,28,28,60,35,5,31,11,0,20,26,46,66,0
698,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,it Serie A,20,1997,2.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1
699,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Empoli,it Serie A,20,1997,14,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,2,1
700,Julian Draxler\Julian-Draxler,de GER,MFFW,Paris S-G,fr Ligue 1,24,1993,22.7,35,21,11,16,8,14,49,28.6,35,351,79,22.5,84,178,89,21,1,0,20,15,50,2,0
701,Luke Dreher\Luke-Dreher,eng ENG,MF,Crystal Palace,eng Premier League,19,1998,0,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
702,Josip Drmić\Josip-Drmic,ch SUI,FW,M'gladbach,de Bundesliga,25,1992,2.5,0,0,0,0,0,0,1,0,1,28,4,14.3,2,18,8,1,0,0,1,2,2,0,0
703,Jaroslav Drobný\Jaroslav-Drobny,cz CZE,GK,Düsseldorf,de Bundesliga,38,1979,2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
704,Óscar Duarte\Oscar-Duarte,cr CRC,DFMF,Espanyol,es La Liga,29,1989,7.3,12,5,7,5,0,5,8,62.5,3,52,11,21.2,31,20,1,10,9,0,1,13,25,42,0
705,Rubén Duarte\Ruben-Duarte,es ESP,DF,Alavés,es La Liga,22,1995,30.8,72,40,38,23,11,31,68,45.6,37,357,117,32.8,209,114,34,90,11,0,79,57,129,135,1
706,Leo Dubois\Leo-Dubois,fr FRA,DF,Lyon,fr Ligue 1,23,1994,22.7,51,34,23,22,6,14,37,37.8,23,366,118,32.2,181,126,59,39,10,2,29,21,72,57,0
707,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,eng Premier League,29,1989,38,0,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,5,3
708,Marvin Ducksch\Marvin-Ducksch,de GER,FW,Düsseldorf,de Bundesliga,24,1994,9.1,4,1,1,2,1,1,4,25,3,149,43,28.9,20,81,48,8,1,0,7,4,8,7,0
709,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Hertha BSC,de Bundesliga,23,1994,28.5,52,33,13,30,9,13,55,23.6,42,598,160,26.8,95,369,134,31,3,0,28,19,71,9,0
710,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,eng Premier League,26,1992,34.3,32,20,22,6,4,11,23,47.8,12,156,47,30.1,110,32,14,71,49,2,22,36,68,302,2
711,Demeaco Duhaney\Demeaco-Duhaney,eng ENG,DF,Huddersfield,eng Premier League,19,1998,0.5,2,1,2,0,0,1,2,50,1,20,6,30,10,7,3,5,0,0,5,0,2,0,0
712,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,eng Premier League,26,1991,22.1,38,16,26,11,1,19,42,45.2,23,277,62,22.4,192,76,9,46,13,1,33,36,74,129,1
713,Alfred Duncan\Alfred-Duncan,gh GHA,MF,Sassuolo,it Serie A,25,1993,20.5,31,19,15,13,3,9,38,23.7,29,358,81,22.6,107,185,66,20,8,0,12,17,48,23,0
714,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,eng Premier League,26,1991,35,46,32,31,14,1,11,33,33.3,22,226,75,33.2,159,55,12,66,43,0,23,51,97,225,0
715,Maxime Dupé\Maxime-Dupe,fr FRA,GK,Nantes,fr Ligue 1,25,1993,10.4,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
716,Erik Durm\Erik-Durm,de GER,DF,Huddersfield,eng Premier League,26,1992,22.8,48,28,28,15,5,16,37,43.2,21,380,98,25.8,180,152,48,36,6,0,30,38,86,50,0
717,Jimmy Durmaz\Jimmy-Durmaz,se SWE,MFFW,Toulouse,fr Ligue 1,29,1989,21.1,35,27,8,15,12,19,50,38,31,353,87,24.6,73,195,85,24,4,0,20,14,49,10,0
718,Riza Durmisi\Riza-Durmisi,dk DEN,DFMF,Lazio,it Serie A,24,1994,3.6,5,5,3,0,2,3,5,60,2,61,18,29.5,22,24,15,4,0,0,4,1,6,8,0
719,Hugo Duro\Hugo-Duro,es ESP,MFFW,Getafe,es La Liga,18,1999,4.6,8,4,2,3,3,3,9,33.3,6,133,35,26.3,23,65,45,5,1,0,4,3,11,2,0
720,Raphael Dwamena\Raphael-Dwamena,gh GHA,FW,Levante,es La Liga,22,1995,2.5,0,0,0,0,0,0,1,0,1,42,7,16.7,7,19,16,2,1,0,1,0,0,3,0
721,Paulo Dybala\Paulo-Dybala,ar ARG,FWMF,Juventus,it Serie A,24,1993,23.7,16,12,5,6,5,2,22,9.1,20,433,89,20.6,50,210,173,30,2,0,28,15,31,0,0
722,Edin Džeko\Edin-Dzeko,ba BIH,FW,Roma,it Serie A,32,1986,28.7,14,9,1,9,4,5,21,23.8,16,346,75,21.7,22,150,174,15,4,0,11,0,14,32,0
723,Blerim Džemaili\Blerim-Dzemaili,ch SUI,MF,Bologna,it Serie A,32,1986,19.4,41,25,22,17,2,23,68,33.8,45,399,89,22.3,122,213,64,25,2,0,23,16,57,9,0
724,Félix Eboa Eboa\Felix-Eboa-Eboa,cm CMR,DF,Guingamp,fr Ligue 1,21,1997,27,51,34,32,19,0,10,30,33.3,20,283,93,32.9,173,100,10,56,23,0,33,37,88,149,3
725,Dennis Eckert\Dennis-Eckert,de GER,FW,Celta Vigo,es La Liga,21,1997,2.4,1,1,0,0,1,1,3,33.3,2,41,15,36.6,4,14,23,2,0,0,2,2,3,2,0
726,Bruno Ecuele Manga\Bruno-Ecuele-Manga,ga GAB,DF,Cardiff City,eng Premier League,30,1988,37.5,68,43,50,12,6,29,59,49.2,30,557,171,30.7,349,192,16,86,29,0,57,79,147,162,4
727,Simone Edera\Simone-Edera,it ITA,FWMF,Torino,it Serie A,21,1997,0.9,2,1,1,1,0,0,1,0,1,27,9,33.3,2,17,8,1,0,0,1,1,3,0,0
728,Simone Edera\Simone-Edera,it ITA,FW,Bologna,it Serie A,21,1997,2.2,4,2,3,0,1,1,4,25,3,63,20,31.7,15,36,12,3,0,0,3,0,4,0,0
729,Ederson\Ederson,br BRA,GK,Manchester City,eng Premier League,24,1993,38,1,1,0,1,0,1,1,100,0,0,0,,0,0,0,0,0,0,0,1,2,1,1
730,Johannes Eggestein\Johannes-Eggestein,de GER,FWMF,Werder Bremen,de Bundesliga,20,1998,12.4,8,5,4,2,2,1,20,5,19,400,96,24,71,246,83,14,0,0,14,6,14,6,0
731,Maximilian Eggestein\Maximilian-Eggestein,de GER,MF,Werder Bremen,de Bundesliga,21,1996,33.9,71,47,34,34,3,18,47,38.3,29,639,166,26,208,342,89,55,8,0,47,32,103,62,1
732,Albin Ekdal\Albin-Ekdal,se SWE,MF,Sampdoria,it Serie A,29,1989,29.4,56,35,16,29,11,23,67,34.3,44,429,127,29.6,124,249,56,47,14,0,33,52,108,64,1
733,Josip Elez\Josip-Elez,hr CRO,DF,Hannover 96,de Bundesliga,24,1994,7.2,6,4,4,2,0,2,12,16.7,10,71,19,26.8,47,21,3,20,4,0,16,8,14,26,0
734,Harvey Elliot\Harvey-Elliot,eng ENG,MF,Fulham,eng Premier League,15,2003,0.2,1,0,0,1,0,1,1,100,0,3,1,33.3,0,3,0,0,0,0,0,0,1,0,0
735,Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,eng Premier League,26,1992,4.2,10,5,6,2,2,2,4,50,2,86,24,27.9,40,36,10,5,2,0,3,2,12,8,0
736,Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,es La Liga,24,1994,25,47,31,32,12,3,20,44,45.5,24,266,89,33.5,142,106,18,42,5,0,37,39,86,163,0
737,Gorka Elustondo\Gorka-Elustondo,es ESP,MF,Rayo Vallecano,es La Liga,31,1987,3.2,5,3,2,3,0,2,6,33.3,4,25,7,28,17,8,0,4,1,0,3,6,11,9,0
738,Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'gladbach,de Bundesliga,21,1996,29.1,40,25,32,8,0,15,31,48.4,16,195,56,28.7,139,53,3,44,12,1,32,52,92,129,4
739,Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,es La Liga,24,1993,4.8,6,4,4,2,0,3,8,37.5,5,31,12,38.7,21,10,0,16,8,0,8,7,13,50,0
740,Mohamed Elyounoussi\Mohamed-Elyounoussi,no NOR,MFFW,Southampton,eng Premier League,23,1994,8.8,18,11,9,6,3,3,14,21.4,11,256,57,22.3,89,106,61,13,1,0,12,7,25,4,0
741,Adri Embarba\Adri-Embarba,es ESP,FWMF,Rayo Vallecano,es La Liga,26,1992,25.4,59,34,24,23,12,23,71,32.4,48,555,125,22.5,157,250,148,48,3,0,45,29,88,9,0
742,Breel Embolo\Breel-Embolo,ch SUI,FW,Schalke 04,de Bundesliga,21,1997,14.9,20,16,6,10,4,2,12,16.7,10,257,66,25.7,21,130,106,10,1,0,9,6,26,4,0
743,Emerson\Emerson,br BRA,DF,Betis,es La Liga,19,1999,3.5,13,10,9,3,1,3,8,37.5,5,71,21,29.6,30,27,14,11,0,0,11,7,20,7,0
744,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Leganés,es La Liga,21,1997,23.4,14,11,3,8,3,3,28,10.7,25,534,94,17.6,48,255,231,22,2,0,20,6,20,24,0
745,Björn Engels\Bjorn-Engels,be BEL,DF,Reims,fr Ligue 1,23,1994,33,16,9,11,5,0,7,17,41.2,10,134,52,38.8,100,28,6,52,25,0,27,46,62,209,2
746,Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,es La Liga,28,1990,28.7,30,26,4,10,16,7,30,23.3,23,638,177,27.7,25,213,400,25,4,0,21,6,36,14,0
747,Javier Eraso\Javier-Eraso,es ESP,MFFW,Leganés,es La Liga,28,1990,7,5,3,0,3,2,0,6,0,6,192,42,21.9,52,88,52,7,1,0,6,7,12,7,0
748,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,eng Premier League,26,1992,30.8,41,27,9,17,15,13,51,25.5,38,673,189,28.1,170,321,182,44,4,0,40,14,55,8,0
749,Patrick Erras\Patrick-Erras,de GER,MF,Nürnberg,de Bundesliga,23,1995,13.6,22,13,12,8,2,9,19,47.4,10,174,51,29.3,92,73,9,27,15,0,12,25,47,43,0
750,Gonzalo Escalante\Gonzalo-Escalante,ar ARG,MF,Eibar,es La Liga,25,1993,19.9,49,39,15,32,2,14,52,26.9,38,405,119,29.4,81,252,72,38,2,0,36,21,70,27,0
751,Sergio Escudero\Sergio-Escudero,es ESP,DFMF,Sevilla,es La Liga,28,1989,17.2,41,20,25,14,2,18,41,43.9,23,281,84,29.9,152,92,37,47,5,0,42,24,65,55,0
752,Bernardo Espinosa\Bernardo-Espinosa,co COL,DF,Girona,es La Liga,29,1989,30.3,18,12,14,4,0,9,18,50,9,178,58,32.6,117,53,8,66,33,0,33,40,58,221,2
753,Michael Esser\Michael-Esser,de GER,GK,Hannover 96,de Bundesliga,30,1987,32,2,1,2,0,0,1,4,25,3,5,0,0,5,0,0,1,0,0,1,3,5,3,0
754,Alexander Esswein\Alexander-Esswein,de GER,FWMF,Stuttgart,de Bundesliga,28,1990,13.9,23,12,10,3,10,4,19,21.1,15,301,90,29.9,49,161,91,21,2,0,19,14,37,12,0
755,Neil Etheridge\Neil-Etheridge,ph PHI,GK,Cardiff City,eng Premier League,28,1990,38,0,0,0,0,0,0,1,0,1,2,0,0,1,0,1,0,0,0,0,6,6,0,0
756,Beñat Etxebarria\Benat-Etxebarria,es ESP,MF,Athletic Club,es La Liga,31,1987,22.6,47,35,17,25,5,16,67,23.9,51,417,103,24.7,100,265,52,23,1,0,22,24,71,24,0
757,Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Huesca,es La Liga,30,1987,29.7,47,28,35,10,2,18,42,42.9,24,230,68,29.6,129,88,13,48,25,0,23,39,86,196,1
758,Lucas Evangelista\Lucas-Evangelista,br BRA,FWMF,Nantes,fr Ligue 1,23,1995,8,24,16,6,10,8,8,21,38.1,13,187,45,24.1,44,103,40,12,0,0,12,6,30,7,0
759,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,eng Premier League,30,1988,22.2,24,17,17,7,0,6,14,42.9,8,203,78,38.4,137,55,11,36,9,0,27,33,57,154,2
760,Ewerton\Ewerton,br BRA,DF,Nürnberg,de Bundesliga,29,1989,14.9,26,18,23,3,0,10,19,52.6,9,98,32,32.7,79,19,0,25,11,0,14,29,55,133,2
761,Valentin Eysseric\Valentin-Eysseric,fr FRA,FWMF,Fiorentina,it Serie A,26,1992,4,8,5,3,3,2,2,3,66.7,1,68,23,33.8,17,32,19,6,1,0,5,5,13,0,0
762,Valentin Eysseric\Valentin-Eysseric,fr FRA,MFFW,Nantes,fr Ligue 1,26,1992,2.3,1,1,0,1,0,0,2,0,2,69,18,26.1,10,37,22,3,0,0,3,0,1,0,0
763,Marco Fabián\Marco-Fabian,mx MEX,FW,Eint Frankfurt,de Bundesliga,29,1989,0.7,3,2,2,1,0,2,2,100,0,22,4,18.2,5,14,3,0,0,0,0,3,6,0,0
764,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,eng Premier League,33,1985,38,0,0,0,0,0,0,2,0,2,2,0,0,2,0,0,0,0,0,0,1,1,3,0
765,Fabinho\Fabinho,br BRA,MF,Liverpool,eng Premier League,24,1993,22.4,60,34,22,30,8,17,55,30.9,38,447,131,29.3,130,253,64,40,6,0,34,31,91,46,0
766,Fábio\Fabio,br BRA,DF,Nantes,fr Ligue 1,28,1990,14.2,55,34,26,27,2,23,61,37.7,38,250,83,33.2,107,121,22,23,5,0,18,19,74,37,2
767,Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Chelsea,eng Premier League,31,1987,2,10,9,7,3,0,2,4,50,2,30,11,36.7,15,13,2,2,1,0,1,1,11,1,0
768,Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Monaco,fr Ligue 1,31,1987,10.7,16,12,7,5,4,6,27,22.2,21,243,63,25.9,76,127,40,21,2,0,19,10,26,9,1
769,Fabricio\Fabricio,es ESP,GK,Fulham,eng Premier League,30,1987,2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
770,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Schalke 04,de Bundesliga,29,1988,16.3,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,2,2,1,1
771,Romain Faivre\Romain-Faivre,fr FRA,MFFW,Monaco,fr Ligue 1,20,1998,1,1,1,0,1,0,0,2,0,2,13,1,7.7,5,6,2,0,0,0,0,1,2,0,0
772,Fayçal Fajr\Faycal-Fajr,ma MAR,MF,Caen,fr Ligue 1,29,1988,36,56,30,19,29,8,18,87,20.7,69,723,177,24.5,185,411,127,37,7,0,30,28,84,21,0
