Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt
396,Unai Bustinza\Unai-Bustinza,es ESP,DF,Leganés,es La Liga,27,1992,29.8,0,7,3,42.9,0.23,0.1,0,0,0,0,0
397,Ludovic Butelle\Ludovic-Butelle,fr FRA,GK,Angers,fr Ligue 1,36,1983,26,0,0,0,,0,0,,,0,0,0
398,Marcin Bułka\Marcin-Bulka,pl POL,GK,Paris S-G,fr Ligue 1,19,1999,1,0,0,0,,0,0,,,0,0,0
399,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,eng Premier League,25,1993,14.4,0,16,2,12.5,1.11,0.14,0,0,0,0,0
400,Erick Cabaco\Erick-Cabaco,uy URU,DF,Getafe,es La Liga,24,1995,3,0,1,0,0,0.34,0,0,,0,0,0
401,Erick Cabaco\Erick-Cabaco,uy URU,DF,Levante,es La Liga,24,1995,9,0,4,0,0,0.44,0,0,,0,0,0
402,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,eng Premier League,37,1981,5,0,0,0,,0,0,,,0,0,0
403,Yohan Cabaye\Yohan-Cabaye,fr FRA,MF,Saint-Étienne,fr Ligue 1,33,1986,9.5,0,11,3,27.3,1.15,0.31,0,0,1,0,0
404,Manuel Cabit\Manuel-Cabit,mq MTQ,DF,Metz,fr Ligue 1,26,1993,3,0,0,0,,0,0,,,0,0,0
405,Ariday Cabrera\Ariday-Cabrera,es ESP,MFFW,Mallorca,es La Liga,30,1988,0.4,0,1,1,100,2.43,2.43,0,0,0,0,0
406,Leandro Cabrera\Leandro-Cabrera,uy URU,DF,Getafe,es La Liga,28,1991,17,2,9,3,33.3,0.53,0.18,0.22,0.67,0,0,0
407,Leandro Cabrera\Leandro-Cabrera,uy URU,DF,Espanyol,es La Liga,28,1991,17,0,1,0,0,0.06,0,0,,0,0,0
408,Fabrizio Cacciatore\Fabrizio-Cacciatore,it ITA,DF,Cagliari,it Serie A,32,1986,12.8,0,4,0,0,0.31,0,0,,0,0,0
